date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2012-09-21;20:50;75;120;ECHANGEUR BAGNOLET;;;ECH BAGNOLET-EU/20;;VL;A;;;;;Cond;BL;A;;;;;;;;;
2013-05-20;07:00;75;120;ECHANGEUR BAGNOLET;;;ECH BAGNOLET-EU/20;;VL;A;;;;;Cond;BL;A;;;;;;;;;
2012-01-27;17:45;75;120;36, RUE SAINT FARGEAU;;;RUE SAINT FARGEAU;;Cyclo;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-05-27;18:15;75;120;259, AVENUE GAMBETTA;;;AVENUE GAMBETTA;;Moto>125;A;VL;Z;;;Cond;BL;A;;;;;;;;;
2012-10-24;15:30;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;VL;B;VL;C;Cond;BL;A;Pass;BH;A;Cond;Indem;B;Cond;Indem;C
2013-06-28;00:20;75;120;BOULEVARD PERIPHERIQUE I;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;D;Cond;Indem;E;Cond;Indem;B;Cond;BL;C
2013-09-07;19:00;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;Moto50-125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-08-07;12:10;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;VU;A;VL;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;
2012-12-27;09:05;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;VL;A;;;;;Cond;BL;A;;;;;;;;;
2012-05-31;09:00;75;120;PORTE DES LILAS;;;BD PERIPHERIQUE EXTERIEUR;;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-03-15;00:40;75;120;PORTE DES LILAS;;;ECH LILAS-EY/20;;VL;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Cond;BL;B;Pass;BL;B
2012-01-30;09:40;75;120;PORTE DES LILAS;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;VL;C;Cond;BL;A;Cond;Indem;B;Cond;BL;C;;;
2012-04-12;21:35;75;120;BPE BAGNOLET LILAS;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-09-23;20:10;75;120;PORTE DE BAGNOLET;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-11-27;16:05;75;119;15, BOULEVARD DE LA COMM;1_75119_10247;;BOULEVARD DE LA COMMANDERIE;SENTE A BIGOT;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-07-25;15:05;75;119;RUE DE CRIMEE;1_75119_10253;;RUE DE CRIMEE;RUE MANIN;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-02-23;14:45;75;119;102, BOULEVARD MACDONALD;1_75119_10307;;BOULEVARD MACDONALD;AVENUE DE LA PORTE DE LA VILLETTE;Bus;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2013-12-16;08:45;75;119;AVENUE DE LA PORTE DE LA;1_75119_10307;;AVENUE DE LA PORTE DE LA VILLETTE;BOULEVARD MACDONALD;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-12-11;14:50;75;119;163, AVENUE JEAN JAURES;1_75119_10363;;AVENUE JEAN JAURES;RUE DES ARDENNES;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-07-03;19:55;75;119;PLACE AUGUSTE BARON;1_75119_10381;;PLACE AUGUSTE BARON;ECH VILLETTE-DF/19;Moto50-125;A;Moto50-125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-28;07:50;75;119;PORTE DE LA VILLETTE;1_75119_10457;;AVENUE DE LA PORTE DE LA VILLETTE;PLACE AUGUSTE BARON;VU;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-08-10;07:25;75;119;AVENUE DE LA PORTE DE LA;1_75119_10457;;AVENUE DE LA PORTE DE LA VILLETTE;PLACE AUGUSTE BARON;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-03-15;10:55;75;119;1, PLACE AUGUSTE BARON;1_75119_10479;;PLACE AUGUSTE BARON;NON DENOMMEE DI/19;VU;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-01-19;09:40;75;119;1, RUE ADOLPHE MILLE;1_75119_10566;;RUE ADOLPHE MILLE;AVENUE JEAN JAURES;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-09-02;15:00;75;119;3, RUE ADOLPHE MILLE;1_75119_10566;;RUE ADOLPHE MILLE;AVENUE JEAN JAURES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-04-03;05:20;75;119;185, AVENUE JEAN JAURES;1_75119_10576;;AVENUE JEAN JAURES;RUE ADOLPHE MILLE;Voi;A;;;;;Cond;BL;A;;;;;;;;;
2012-11-24;22:44;75;119;RUE DE CRIMEE;1_75119_10604;;RUE DE CRIMEE;RUE DU GENERAL BRUNET;VU;A;Bicy;B;;;Cond;Indem;A;Cond;Tué;B;;;;;;
2013-04-24;14:20;75;119;138, RUE DE BELLEVILLE;1_75119_10611;;RUE DE BELLEVILLE;RUE DE PALESTINE;VU;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-08-18;03:15;75;119;133, RUE MANIN;1_75119_10741;;RUE MANIN;RUE D ALSACE LORRAINE;Bicy;A;Moto>125;B;;;Cond;Indem;B;Cond;BL;A;;;;;;
2012-09-28;14:00;75;119;200, AVENUE JEAN JAURES;1_75119_10780;;AVENUE JEAN JAURES;RUE EUGENE JUMIN;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-03-12;19:03;75;119;198, AVENUE JEAN JAURES;1_75119_10780;;AVENUE JEAN JAURES;RUE EUGENE JUMIN;Scoo50-125;A;;;;;Piéto;BL;A;Cond;BL;A;;;;;;
2013-03-06;13:50;75;119;AVENUE JEAN JAURES;1_75119_10780;;AVENUE JEAN JAURES;RUE EUGENE JUMIN;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-06-30;02:05;75;119;AVENUE JEAN JAURES;1_75119_10780;;AVENUE JEAN JAURES;RUE EUGENE JUMIN;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-04-01;09:30;75;119;BOULEVARD MACDONALD;1_75119_10809;;BOULEVARD MACDONALD;RUE DE LA CLOTURE;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;
